_PARENT_,_NAME_,county,cluster
CL625,cty39007,39007,625
CL625,cty27143,27143,625
CL625,cty08017,08017,625
CL625,cty08061,08061,625
CL625,cty08011,08011,625
CL625,cty08099,08099,625
CL625,cty20185,20185,625
CL625,cty20009,20009,625
CL625,cty20165,20165,625
CL625,cty27117,27117,625
CL625,cty27133,27133,625
CL625,cty27081,27081,625
CL625,cty27083,27083,625
CL625,cty27073,27073,625
CL625,cty27067,27067,625
CL625,cty27151,27151,625
CL625,cty27015,27015,625
CL625,cty27165,27165,625
CL625,cty27127,27127,625
CL625,cty27129,27129,625
CL625,cty27085,27085,625
CL625,cty27093,27093,625
CL625,cty41029,41029,625
CL625,cty41033,41033,625
CL625,cty20047,20047,625
CL625,cty20145,20145,625
CL625,cty20113,20113,625
CL625,cty20155,20155,625
CL625,cty20159,20159,625
CL625,cty20033,20033,625
CL625,cty20007,20007,625
CL625,cty27023,27023,625
CL625,cty27173,27173,625
CL625,cty20079,20079,625
CL625,cty20115,20115,625
CL625,cty20097,20097,625
CL625,cty20151,20151,625
CL625,cty20077,20077,625
CL625,cty20095,20095,625
CL625,cty02130,02130,625
CL625,cty02201,02201,625
CL625,cty27131,27131,625
CL625,cty27047,27047,625
CL625,cty27099,27099,625
CL625,cty19131,19131,625
CL625,cty19089,19089,625
CL625,cty19191,19191,625
CL625,cty27147,27147,625
CL625,cty27161,27161,625
CL625,cty19037,19037,625
CL625,cty19067,19067,625
CL625,cty27043,27043,625
CL625,cty19119,19119,625
CL625,cty48445,48445,625
CL625,cty48411,48411,625
CL625,cty48193,48193,625
CL625,cty48363,48363,625
CL625,cty48417,48417,625
CL625,cty19109,19109,625
CL625,cty19147,19147,625
CL625,cty19041,19041,625
CL625,cty19059,19059,625
CL625,cty19063,19063,625
CL625,cty27091,27091,625
CL625,cty27101,27101,625
CL625,cty27033,27033,625
CL625,cty27063,27063,625
CL625,cty19141,19141,625
CL625,cty19167,19167,625
CL625,cty35025,35025,625
