clus9000,fips,clus9005,clus9010,clus9015,clus9020,clus9025,clus9030,clus9035,clus9040,clus9045,clus9050,clus9055,clus9060,clus9065,clus9070,clus9075,clus9080,clus9085,clus9090,clus9095,clus9100,clus9105,clus9110,clus9115,clus9120,clus9125,clus9130,clus9135,clus9140,clus9145,clus9150,clus9155,clus9160,clus9165,clus9170,clus9175,clus9180,clus9185,clus9190,clus9195,clus9200,clus9205,clus9210,clus9215,clus9220,clus9225,clus9230,clus9235,clus9240,clus9245,clus9250,clus9255,clus9260,clus9265,clus9270,clus9275,clus9280,clus9285,clus9290,clus9295,clus9300,clus9305,clus9310,clus9315,clus9320,clus9325,clus9330,clus9335,clus9340,clus9345,clus9350,clus9355,clus9360,clus9365,clus9370,clus9375,clus9380,clus9385,clus9390,clus9395,clus9400,clus9405,clus9410,clus9415,clus9420,clus9425,clus9430,clus9435,clus9440,clus9445,clus9450,clus9455,clus9460,clus9465,clus9470,clus9475,clus9480,clus9485,clus9490,clus9495,clus9500,clus9505,clus9510,clus9515,clus9520,clus9525,clus9530,clus9535,clus9540,clus9545,clus9550,clus9555,clus9560,clus9565,clus9570,clus9575,clus9580,clus9585,clus9590,clus9595,clus9600,clus9605,clus9610,clus9615,clus9620,clus9625,clus9630,clus9635,clus9640,clus9645,clus9650,clus9655,clus9660,clus9665,clus9670,clus9675,clus9680,clus9685,clus9690,clus9695,clus9700
CL2106,01001,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106,CL2106
CL2078,01003,CL2078,CL2078,CL2078,CL2078,CL2078,CL2078,CL2078,CL2078,CL2078,CL2078,CL2078,CL2078,CL2078,CL2078,CL2078,CL2078,CL2078,CL2078,CL2078,CL2078,CL2078,CL2078,CL2078,CL2078,CL2078,CL2078,CL2078,CL2078,CL2078,CL2078,CL2078,CL2078,CL2078,CL2078,CL2078,CL2078,CL2078,CL2078,CL2078,CL2078,CL2078,CL2078,CL2078,CL2078,CL2078,CL2078,CL2078,CL2078,CL2078,CL2078,CL2078,CL2078,CL2078,CL2078,CL2078,CL2078,CL2078,CL2078,CL2078,CL2078,CL2078,CL2078,CL2078,CL2078,CL2078,CL2078,CL2078,CL2078,CL2078,CL2078,CL2078,CL2078,CL2078,CL2078,CL2078,CL2078,CL831,CL831,CL831,CL831,CL831,CL831,CL831,CL831,CL831,CL831,CL831,CL831,CL831,CL831,CL831,CL831,CL831,CL831,CL831,CL831,CL831,CL831,CL831,CL831,CL831,CL831,CL831,CL831,CL831,CL831,CL831,CL831,CL831,CL831,CL831,CL831,CL831,CL831,CL831,CL831,CL831,CL831,CL831,CL831,CL831,CL831,CL831,CL831,CL831,CL831,CL831,CL831,CL831,CL831,CL831,CL831,CL831,CL831,CL831,CL831,CL831,CL831,CL831,CL831
CL3088,01005,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088,CL3088
CL1572,01007,CL1572,CL1572,CL1572,CL1572,CL1572,CL1572,CL1572,CL1572,CL1572,CL1572,CL1572,CL1572,CL1572,CL1572,CL1572,CL1572,CL1572,CL1572,CL1572,CL1572,CL1572,CL1572,CL1572,CL1572,CL1572,CL1572,CL1572,CL1572,CL1572,CL1572,CL1572,CL1572,CL1572,CL1572,CL1572,CL1572,CL1572,CL1572,CL1572,CL1572,CL1572,CL1572,CL1572,CL1572,CL1572,CL1572,CL1572,CL1572,CL1572,CL1572,CL1572,CL1572,CL1572,CL1572,CL1572,CL1572,CL1572,CL1572,CL1572,CL1572,CL1572,CL1572,CL1572,CL1572,CL1572,CL1572,CL1572,CL1572,CL1572,CL1572,CL1572,CL1572,CL1572,CL1572,CL1572,CL1572,CL1572,CL1572,CL1572,CL1572,CL1572,CL768,CL768,CL768,CL768,CL768,CL768,CL768,CL768,CL768,CL768,CL768,CL651,CL651,CL651,CL651,CL651,CL651,CL651,CL651,CL651,CL651,CL651,CL651,CL651,CL651,CL651,CL651,CL651,CL651,CL651,CL477,CL477,CL477,CL477,CL477,CL477,CL477,CL477,CL477,CL477,CL477,CL477,CL477,CL477,CL477,CL477,CL477,CL477,CL477,CL477,CL477,CL477,CL336,CL330,CL327,CL323,CL316,CL311,CL308
CL1001009,01009,CL1001009,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424,CL1424
CL1001011,01011,CL1001011,CL1001011,CL1001011,CL1001011,CL1001011,CL1001011,CL1001011,CL1001011,CL1001011,CL1001011,CL1001011,CL1001011,CL1001011,CL1001011,CL1001011,CL1001011,CL1001011,CL1001011,CL1001011,CL1001011,CL1001011,CL1001011,CL1001011,CL1001011,CL1001011,CL1001011,CL1001011,CL1001011,CL1001011,CL1001011,CL1001011,CL1001011,CL1001011,CL1001011,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL1195,CL369,CL366,CL356,CL351,CL345,CL341,CL336,CL330,CL327,CL323,CL316,CL311,CL308
CL1001013,01013,CL1001013,CL1001013,CL1001013,CL1001013,CL1001013,CL1001013,CL1001013,CL1001013,CL1001013,CL1001013,CL1001013,CL1001013,CL1001013,CL1001013,CL1001013,CL1001013,CL1001013,CL1001013,CL1001013,CL1001013,CL1001013,CL1001013,CL1001013,CL1001013,CL1001013,CL1001013,CL1001013,CL1249,CL1249,CL1249,CL1249,CL1249,CL1249,CL1249,CL1249,CL1249,CL1249,CL1249,CL1249,CL1249,CL1249,CL1249,CL1249,CL1249,CL1249,CL1249,CL1249,CL1249,CL1249,CL1249,CL1249,CL1249,CL1249,CL1249,CL1249,CL1249,CL1249,CL1249,CL1249,CL1249,CL1249,CL1249,CL1249,CL1249,CL1249,CL1249,CL1249,CL1249,CL1249,CL1249,CL1249,CL1249,CL1249,CL1249,CL1249,CL1249,CL1249,CL816,CL816,CL816,CL816,CL816,CL816,CL816,CL816,CL816,CL816,CL816,CL816,CL816,CL816,CL816,CL816,CL816,CL816,CL816,CL816,CL816,CL816,CL816,CL816,CL816,CL816,CL816,CL816,CL816,CL518,CL514,CL507,CL495,CL483,CL473,CL467,CL460,CL455,CL444,CL438,CL432,CL422,CL414,CL405,CL400,CL398,CL394,CL386,CL382,CL380,CL369,CL366,CL356,CL351,CL345,CL341,CL336,CL330,CL327,CL323,CL316,CL311,CL308
CL2435,01015,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL1432,CL402,CL402,CL402,CL402,CL402,CL402,CL402,CL402,CL402,CL402,CL402,CL402,CL402,CL402,CL402,CL402,CL402,CL402,CL402
CL1655,01017,CL1655,CL1655,CL1655,CL1655,CL1655,CL1655,CL1655,CL1655,CL1655,CL1655,CL1655,CL1655,CL1655,CL1655,CL1655,CL1655,CL1655,CL1655,CL1655,CL1655,CL1655,CL1655,CL1655,CL1655,CL1655,CL1655,CL1655,CL1655,CL1655,CL1655,CL1655,CL1655,CL1655,CL1655,CL1655,CL1655,CL1655,CL1655,CL1655,CL1655,CL1655,CL1655,CL1655,CL1655,CL1655,CL1655,CL1655,CL1655,CL1655,CL1655,CL1655,CL1655,CL1043,CL1043,CL1043,CL1043,CL1043,CL1043,CL1043,CL1043,CL1043,CL1043,CL1043,CL1043,CL1043,CL1043,CL1043,CL1043,CL1043,CL1043,CL1043,CL1043,CL1043,CL1043,CL1043,CL1043,CL1043,CL1043,CL1043,CL1043,CL1043,CL1043,CL1043,CL1043,CL1043,CL1043,CL1043,CL1043,CL1043,CL1043,CL1043,CL1043,CL1043,CL1043,CL1043,CL1043,CL1043,CL1043,CL1043,CL1043,CL1043,CL1043,CL1043,CL1043,CL1043,CL1043,CL1043,CL1043,CL1043,CL1043,CL1043,CL1043,CL1043,CL1043,CL1043,CL1043,CL1043,CL1043,CL1043,CL1043,CL1043,CL402,CL402,CL402,CL402,CL402,CL402,CL402,CL402,CL402,CL402,CL402,CL402,CL402,CL402,CL402,CL402,CL402,CL402,CL402
CL1631,01019,CL1631,CL1631,CL1421,CL1421,CL1421,CL1421,CL1421,CL1421,CL1421,CL1421,CL1421,CL1421,CL1421,CL1421,CL1421,CL1421,CL1421,CL1421,CL1421,CL1421,CL1421,CL1421,CL1421,CL1421,CL1421,CL1421,CL1421,CL1421,CL1421,CL1421,CL1421,CL1421,CL1421,CL1421,CL1421,CL1421,CL1421,CL1421,CL1421,CL1421,CL1156,CL1156,CL1156,CL1156,CL1156,CL1156,CL1156,CL1156,CL1156,CL1156,CL1156,CL1156,CL1156,CL1156,CL1156,CL1156,CL1156,CL1156,CL1156,CL1156,CL1156,CL1156,CL1156,CL1156,CL1156,CL1156,CL1156,CL1156,CL1156,CL1156,CL1156,CL1156,CL1156,CL1156,CL1156,CL1156,CL1156,CL1156,CL1156,CL1156,CL1156,CL1156,CL1156,CL1156,CL1156,CL1156,CL1156,CL1156,CL1156,CL1156,CL1156,CL1156,CL1156,CL1156,CL1156,CL1156,CL1156,CL1156,CL1156,CL1156,CL1156,CL1156,CL1156,CL1156,CL1156,CL1156,CL523,CL523,CL523,CL523,CL523,CL523,CL523,CL523,CL523,CL523,CL438,CL432,CL422,CL414,CL405,CL400,CL398,CL394,CL386,CL382,CL380,CL369,CL366,CL356,CL351,CL345,CL341,CL336,CL330,CL327,CL323,CL316,CL311,CL308
