fips,year,uireceipt
01001,1990,1442
01001,1991,1678
01001,1992,2030
01001,1993,2447
01001,1994,2123
01001,1995,1538
01001,1996,1822
01001,1997,1645
01001,1998,1626
01001,1999,1578
01001,2000,1799
01001,2001,1879
01001,2002,2566
01001,2003,3494
01001,2004,3589
01001,2005,2496
01001,2006,2259
01001,2007,2116
01001,2008,2264
01001,2009,4413
01001,2010,10349
01001,2011,11248
01001,2012,9636
01001,2013,6747
01001,2014,4866
01001,2015,2730
01003,1990,3298
01003,1991,3610
01003,1992,4652
01003,1993,6700
01003,1994,6103
01003,1995,4361
01003,1996,4526
01003,1997,5666
01003,1998,4411
01003,1999,4305
01003,2000,4782
01003,2001,4936
01003,2002,8405
01003,2003,11333
01003,2004,11190
01003,2005,8491
01003,2006,7448
01003,2007,6570
01003,2008,7092
01003,2009,11210
01003,2010,34628
01003,2011,40737
01003,2012,32134
01003,2013,22696
01003,2014,15802
01003,2015,9258
01005,1990,1127
01005,1991,1442
01005,1992,1889
01005,1993,2774
01005,1994,2448
01005,1995,1332
01005,1996,1730
01005,1997,2567
01005,1998,1870
01005,1999,1515
01005,2000,1416
01005,2001,1695
01005,2002,2403
01005,2003,2776
01005,2004,2450
01005,2005,1723
01005,2006,1546
01005,2007,1589
01005,2008,1820
01005,2009,1825
01005,2010,5060
01005,2011,6423
01005,2012,5098
01005,2013,5413
01005,2014,4118
01005,2015,1722
01007,1990,754
01007,1991,939
01007,1992,1432
01007,1993,1704
01007,1994,1548
01007,1995,871
01007,1996,773
01007,1997,1060
01007,1998,1070
01007,1999,1148
01007,2000,934
01007,2001,1006
01007,2002,1736
01007,2003,2042
01007,2004,1638
01007,2005,1071
01007,2006,975
01007,2007,958
01007,2008,997
01007,2009,1767
01007,2010,6202
01007,2011,5225
01007,2012,4197
01007,2013,2840
01007,2014,1999
01007,2015,1114
01009,1990,1144
01009,1991,1938
01009,1992,2054
01009,1993,2687
01009,1994,2100
01009,1995,1433
01009,1996,1562
01009,1997,1531
01009,1998,1389
01009,1999,1858
01009,2000,1474
01009,2001,1546
01009,2002,2636
01009,2003,4555
01009,2004,3757
01009,2005,2456
01009,2006,2347
01009,2007,2230
01009,2008,2390
01009,2009,2909
01009,2010,9934
01009,2011,13106
01009,2012,10199
01009,2013,6776
01009,2014,4873
01009,2015,2817
01011,1990,645
01011,1991,737
01011,1992,1321
01011,1993,1201
01011,1994,1060
01011,1995,874
01011,1996,1061
01011,1997,1200
01011,1998,824
01011,1999,957
01011,2000,825
01011,2001,914
01011,2002,1111
01011,2003,1293
01011,2004,1374
01011,2005,1008
01011,2006,882
01011,2007,859
01011,2008,964
01011,2009,1459
01011,2010,2145
01011,2011,3077
01011,2012,2571
01011,2013,1982
01011,2014,1435
01011,2015,777
01013,1990,1491
01013,1991,1587
01013,1992,1720
01013,1993,2117
01013,1994,1804
01013,1995,1291
01013,1996,1271
01013,1997,1743
01013,1998,1744
01013,1999,2310
01013,2000,2585
01013,2001,2170
01013,2002,1934
01013,2003,2371
01013,2004,2504
01013,2005,1944
01013,2006,1477
01013,2007,1379
01013,2008,1579
01013,2009,2936
01013,2010,8051
01013,2011,6400
01013,2012,5676
01013,2013,3933
01013,2014,2731
01013,2015,1444
01015,1990,4673
01015,1991,5626
01015,1992,7131
01015,1993,10096
01015,1994,8959
01015,1995,6626
01015,1996,6756
01015,1997,6773
01015,1998,5854
01015,1999,5840
01015,2000,5759
01015,2001,6232
01015,2002,8169
01015,2003,10256
01015,2004,9979
01015,2005,6790
01015,2006,6138
01015,2007,5812
01015,2008,6135
01015,2009,12449
01015,2010,29611
01015,2011,29922
01015,2012,23119
01015,2013,16335
01015,2014,12246
01015,2015,6817
01017,1990,1235
01017,1991,1959
01017,1992,3180
01017,1993,2960
01017,1994,3181
01017,1995,2247
01017,1996,2041
01017,1997,1976
01017,1998,2021
01017,1999,2027
01017,2000,2152
01017,2001,2238
01017,2002,3429
01017,2003,4252
01017,2004,3899
01017,2005,3100
01017,2006,2621
01017,2007,2610
01017,2008,3247
01017,2009,9882
01017,2010,11758
01017,2011,11067
01017,2012,7784
01017,2013,5552
01017,2014,3492
01017,2015,1835
01019,1990,852
01019,1991,1313
01019,1992,1309
01019,1993,1302
01019,1994,1046
01019,1995,901
01019,1996,931
01019,1997,863
01019,1998,772
01019,1999,921
01019,2000,949
01019,2001,918
01019,2002,1466
01019,2003,1786
01019,2004,1825
01019,2005,1285
01019,2006,1287
01019,2007,1294
01019,2008,1385
01019,2009,1752
01019,2010,5078
01019,2011,6027
01019,2012,4854
01019,2013,3318
01019,2014,2149
01019,2015,1179
01021,1990,1568
01021,1991,2041
01021,1992,2666
01021,1993,3312
01021,1994,2765
01021,1995,1910
01021,1996,1794
01021,1997,1915
01021,1998,2100
01021,1999,2172
01021,2000,1891
01021,2001,2203
01021,2002,3231
01021,2003,3624
01021,2004,3451
01021,2005,2446
01021,2006,2144
01021,2007,2012
01021,2008,2214
01021,2009,3553
01021,2010,9314
01021,2011,10099
01021,2012,7931
01021,2013,5242
01021,2014,3761
01021,2015,2167
01023,1990,928
01023,1991,1152
01023,1992,1114
01023,1993,1520
01023,1994,1766
01023,1995,1140
01023,1996,1021
01023,1997,1620
01023,1998,1510
01023,1999,1280
01023,2000,1001
01023,2001,986
01023,2002,1189
01023,2003,1657
01023,2004,1776
01023,2005,1059
01023,2006,860
01023,2007,784
01023,2008,877
01023,2009,931
01023,2010,2254
01023,2011,3215
01023,2012,2709
01023,2013,1812
01023,2014,1271
01023,2015,744
01025,1990,1262
01025,1991,1400
01025,1992,1934
01025,1993,3386
01025,1994,2847
01025,1995,1873
01025,1996,2168
01025,1997,2587
01025,1998,2685
01025,1999,2673
01025,2000,2338
01025,2001,2652
01025,2002,3055
01025,2003,3181
01025,2004,2902
01025,2005,2067
01025,2006,1600
01025,2007,1664
01025,2008,1777
01025,2009,3833
01025,2010,10092
01025,2011,9504
01025,2012,7160
01025,2013,4695
01025,2014,3321
01025,2015,1826
01027,1990,572
01027,1991,612
01027,1992,998
01027,1993,838
01027,1994,1200
01027,1995,528
01027,1996,534
01027,1997,598
01027,1998,532
01027,1999,500
01027,2000,671
01027,2001,1067
01027,2002,1091
01027,2003,1249
01027,2004,1337
01027,2005,827
01027,2006,718
01027,2007,721
01027,2008,945
01027,2009,1697
01027,2010,4658
01027,2011,4290
01027,2012,2867
01027,2013,1900
01027,2014,1319
01027,2015,698
01029,1990,437
01029,1991,609
01029,1992,845
01029,1993,968
01029,1994,885
01029,1995,509
01029,1996,639
01029,1997,629
01029,1998,489
01029,1999,600
01029,2000,627
01029,2001,567
01029,2002,1039
01029,2003,1117
01029,2004,1275
01029,2005,808
01029,2006,660
01029,2007,614
01029,2008,675
01029,2009,665
01029,2010,1939
01029,2011,3032
01029,2012,2483
01029,2013,1784
01029,2014,1307
01029,2015,717
01031,1990,1443
01031,1991,2037
01031,1992,2543
01031,1993,2920
01031,1994,2747
01031,1995,1878
01031,1996,1714
01031,1997,2405
01031,1998,1882
01031,1999,2182
01031,2000,2331
01031,2001,3214
01031,2002,3447
01031,2003,3326
01031,2004,3498
01031,2005,2488
01031,2006,1992
01031,2007,2049
01031,2008,2286
01031,2009,2591
01031,2010,6053
01031,2011,9094
01031,2012,7599
01031,2013,7223
01031,2014,4338
01031,2015,2488
01033,1990,3462
01033,1991,3575
01033,1992,5198
01033,1993,5794
01033,1994,4841
01033,1995,3816
01033,1996,3586
01033,1997,5048
01033,1998,6276
01033,1999,6782
01033,2000,6561
01033,2001,6523
01033,2002,8578
01033,2003,9296
01033,2004,8314
01033,2005,6454
01033,2006,4909
01033,2007,4223
01033,2008,5448
01033,2009,8652
01033,2010,14152
01033,2011,13965
01033,2012,10919
01033,2013,8097
01033,2014,6128
01033,2015,3862
01035,1990,687
01035,1991,862
01035,1992,1131
01035,1993,1721
01035,1994,1265
01035,1995,979
01035,1996,1148
01035,1997,1781
01035,1998,1387
01035,1999,1316
01035,2000,1162
01035,2001,995
01035,2002,1100
01035,2003,1391
01035,2004,1393
01035,2005,976
01035,2006,805
01035,2007,758
01035,2008,897
01035,2009,1629
01035,2010,5626
01035,2011,4279
01035,2012,3171
01035,2013,2045
01035,2014,1501
01035,2015,907
01037,1990,396
01037,1991,480
01037,1992,587
01037,1993,624
01037,1994,611
01037,1995,457
01037,1996,427
01037,1997,527
01037,1998,453
01037,1999,514
01037,2000,604
01037,2001,689
01037,2002,1020
01037,2003,1576
01037,2004,1295
01037,2005,784
01037,2006,612
01037,2007,700
01037,2008,763
01037,2009,1773
01037,2010,4543
01037,2011,3374
01037,2012,2197
01037,2013,1485
01037,2014,1246
01037,2015,700
01039,1990,1528
01039,1991,2053
01039,1992,2908
01039,1993,3919
01039,1994,3105
01039,1995,1760
01039,1996,2001
01039,1997,3061
01039,1998,2690
01039,1999,2913
01039,2000,3277
01039,2001,3932
01039,2002,3520
01039,2003,3672
01039,2004,4123
01039,2005,2905
01039,2006,2118
01039,2007,1905
01039,2008,2148
01039,2009,4194
