fips,czone1990
01001,11101
01003,11001
01005,10301
01007,10801
01009,10700
01011,09800
01013,11101
01015,09600
01017,09600
01019,06600
01021,10700
01023,10802
01025,11001
01027,09500
01029,09600
01031,10302
01033,06200
01035,11002
01037,09500
01039,11102
01041,11102
01043,10700
01045,10302
01047,10801
01049,06100
01051,11101
01053,11002
01055,06100
01057,10600
01059,06200
01061,10302
01063,10802
01065,10801
01067,10302
01069,10302
01071,06100
01073,10700
01075,10600
01077,06200
01079,06000
01081,09800
01083,06000
01085,11101
01087,09800
01089,06000
01091,10802
01093,10600
01095,06100
01097,11001
01099,11002
01101,11101
01103,06000
01105,10801
01107,10501
01109,11102
01111,09600
01113,09701
01115,10700
01117,10700
01119,10802
01121,09500
01123,09500
01125,10801
01127,10600
01129,11001
01131,11001
01133,10600
02013,34101
02016,34114
02020,34102
02050,34112
02060,34104
02070,34107
02090,34115
02100,34109
02110,34109
02122,34102
02130,34111
02150,34108
02164,34107
02170,34102
02180,34106
02185,34113
02188,34105
02201,34111
02220,34110
02231,34109
02240,34115
02261,34103
02270,34112
02280,34110
02290,34115
04001,35500
04003,35100
04005,35401
04007,35001
04009,35002
04011,35002
04012,38300
04013,35001
04015,37901
04017,35500
04019,35100
04021,35001
04023,35100
04025,35401
04027,38100
05001,04301
05003,04101
05005,25101
05007,30300
05009,25103
05011,04102
05013,04103
05015,25103
05017,04102
05019,34001
05021,25900
05023,25104
05025,04102
05027,04001
05029,04200
05031,25900
05033,30100
05035,05300
05037,05300
05039,04103
05041,04102
05043,04102
05045,04200
05047,30000
05049,25102
05051,34001
05053,04200
05055,25900
05057,34001
05059,34001
05061,34001
05063,25105
05065,25105
05067,04302
05069,04102
05071,30000
05073,04001
05075,25900
05077,05300
05079,04102
05081,33500
05083,30000
05085,04200
05087,30300
05089,25101
05091,33500
05093,25800
05095,04301
05097,34001
05099,34001
05101,25103
05103,04103
05105,04200
05107,05300
05109,34001
05111,25900
05113,34002
05115,30000
05117,04301
05119,04200
05121,25900
05123,05300
05125,04200
05127,30100
05129,25103
05131,30100
05133,34002
05135,25105
05137,25104
05139,04103
05141,25104
05143,30300
05145,04302
05147,04302
05149,30000
06001,37800
06003,37400
06005,37400
06007,37300
06009,37400
06011,37300
