h_state_fips,h_county_fips,w_state_fips,w_county_fips,flow,moe
01,001,001,001,8635,597
01,001,001,007,16,23
01,001,001,013,4,7
01,001,001,021,597,251
01,001,001,043,27,42
01,001,001,047,379,118
01,001,001,051,1942,377
01,001,001,053,17,28
01,001,001,073,177,91
01,001,001,077,10,18
01,001,001,081,71,81
01,001,001,085,124,81
01,001,001,087,64,57
01,001,001,097,25,24
01,001,001,101,11482,734
01,001,001,105,11,17
01,001,001,107,3,6
01,001,001,109,99,91
01,001,001,115,9,12
01,001,001,117,96,74
01,001,001,121,9,13
01,001,001,123,20,30
01,001,001,125,9,12
01,001,001,131,18,23
01,001,012,005,21,31
01,001,012,033,34,38
01,001,012,057,2,5
01,001,013,051,31,40
01,001,013,201,63,65
01,001,013,215,13,23
01,001,013,241,16,26
01,001,022,043,14,33
01,001,022,057,6,9
01,001,025,013,3,5
01,001,027,037,6,10
01,001,028,049,6,9
01,001,029,095,17,25
01,001,037,119,11,20
01,001,040,143,15,26
01,001,048,141,12,21
01,001,051,041,20,28
01,001,301,NA,10,16
01,003,001,003,58060,1535
01,003,001,005,12,19
01,003,001,015,17,27
01,003,001,023,27,32
01,003,001,025,7,14
01,003,001,033,33,44
01,003,001,035,50,56
01,003,001,049,11,19
01,003,001,053,706,210
01,003,001,073,111,65
01,003,001,077,47,66
01,003,001,083,45,75
01,003,001,089,22,37
01,003,001,095,15,22
01,003,001,097,15392,867
01,003,001,099,67,56
01,003,001,101,180,139
01,003,001,109,17,50
01,003,001,117,2,5
01,003,001,125,30,45
01,003,001,129,127,81
01,003,005,143,2,3
01,003,006,071,13,22
01,003,006,073,44,40
01,003,011,001,140,164
01,003,012,005,10,16
01,003,012,031,24,27
01,003,012,033,2911,493
01,003,012,057,19,35
01,003,012,086,16,25
01,003,012,091,67,50
01,003,012,113,62,44
01,003,012,131,27,29
01,003,013,063,19,29
01,003,013,077,4,6
01,003,013,089,64,68
01,003,013,121,79,63
01,003,013,135,18,32
01,003,013,153,25,38
01,003,013,157,49,65
01,003,013,215,19,29
01,003,013,247,32,51
01,003,017,019,12,20
01,003,022,017,48,66
01,003,022,019,97,136
01,003,022,033,14,23
01,003,022,051,97,81
01,003,022,057,59,47
01,003,022,071,60,52
01,003,022,101,25,30
01,003,022,109,97,90
01,003,022,117,23,37
01,003,023,017,36,46
01,003,024,021,17,26
01,003,024,041,5,8
01,003,024,043,12,18
01,003,027,053,15,24
01,003,028,035,26,29
01,003,028,045,5,8
01,003,028,047,135,99
01,003,028,049,13,20
01,003,028,059,537,195
01,003,028,061,20,31
01,003,028,065,16,25
01,003,028,067,23,34
01,003,028,073,15,23
01,003,028,087,14,23
01,003,028,089,12,20
01,003,028,105,12,19
01,003,028,113,35,40
01,003,029,510,9,16
01,003,032,003,15,23
01,003,034,035,14,24
01,003,036,059,9,16
01,003,036,085,23,35
01,003,037,119,23,36
01,003,042,125,24,37
01,003,047,037,1,4
01,003,047,065,35,40
01,003,047,143,12,18
01,003,047,157,13,21
01,003,048,005,7,12
01,003,048,029,3,5
01,003,048,041,19,29
01,003,048,113,14,22
01,003,048,167,30,33
01,003,048,201,165,94
01,003,048,439,7,11
01,003,051,153,14,22
01,003,053,053,29,47
01,003,NA,NA,51,53
01,005,001,005,6478,439
01,005,001,011,132,77
01,005,001,017,40,47
01,005,001,031,45,43
01,005,001,039,14,23
01,005,001,041,37,49
01,005,001,045,373,117
01,005,001,067,210,88
01,005,001,069,202,94
01,005,001,073,9,16
01,005,001,081,25,24
01,005,001,087,1,3
01,005,001,089,8,11
01,005,001,097,7,12
01,005,001,101,140,96
01,005,001,109,350,127
01,005,001,113,501,185
01,005,001,125,3,5
01,005,002,020,9,14
01,005,012,005,11,17
01,005,012,095,2,5
01,005,013,053,10,15
01,005,013,061,42,46
01,005,013,099,23,24
01,005,013,177,14,23
01,005,013,215,84,46
01,005,013,239,108,78
01,005,013,243,60,46
01,005,013,259,94,67
01,005,047,037,29,38
01,005,047,157,11,16
01,005,051,135,67,77
01,005,NA,NA,24,33
01,007,001,007,3485,419
01,007,001,021,91,63
01,007,001,057,3,5
01,007,001,065,21,36
01,007,001,071,3,5
01,007,001,073,1762,343
01,007,001,087,11,13
01,007,001,101,40,61
01,007,001,105,58,62
01,007,001,117,723,219
01,007,001,125,1616,449
01,007,001,129,19,30
01,007,013,051,2,4
01,007,024,033,6,9
01,007,028,075,5,12
01,009,001,007,23,29
01,009,001,009,7767,583
01,009,001,015,93,77
01,009,001,019,2,3
01,009,001,043,1126,260
01,009,001,049,16,26
01,009,001,055,198,73
01,009,001,059,30,32
01,009,001,071,33,46
01,009,001,073,10852,763
01,009,001,077,85,102
01,009,001,081,9,15
01,009,001,083,17,25
01,009,001,089,218,85
01,009,001,095,990,196
01,009,001,097,5,11
01,009,001,101,54,54
01,009,001,103,76,52
01,009,001,115,381,135
01,009,001,117,252,98
01,009,001,121,49,36
01,009,001,125,50,44
01,009,001,127,84,65
01,009,005,143,16,25
01,009,013,121,12,22
01,009,013,153,2,3
01,009,013,299,40,62
01,009,019,069,18,29
01,009,022,033,7,11
01,009,024,033,10,16
